Oracion original,Label Original,Puntaje negativo,Puntaje positivo,Inferencia,Tiempo de ejecucion
i loooooooovvvvvveee my kindle not that the dx is cool but the is fantastic in its own right,1,0.0,0.382,Neutral,0.0006854534149169922
reading my kindle love it lee childs is good read,1,0.0,0.47,Neutral,0.0003857612609863281
ok first assesment of the kindle it fucking rocks,1,0.0,0.216,Neutral,0.0002694129943847656
you ll love your kindle i ve had mine for a few months and never looked back the new big one is huge no need for remorse,1,0.135,0.204,Neutral,0.0004100799560546875
fair enough but i have the kindle and i think it s perfect,1,0.0,0.456,Neutral,0.0002701282501220703
no it is too big i m quite happy with the kindle,1,0.155,0.281,Neutral,0.00025343894958496094
fuck this economy i hate aig and their non loan given asses,0,0.444,0.0,Negativo,0.0002732276916503906
jquery is my new best friend,1,0.0,0.649,Neutral,0.0002338886260986328
loves twitter,1,0.0,0.787,Neutral,0.0002498626708984375
how can you not love obama he makes jokes about himself,1,0.234,0.139,Neutral,0.0003230571746826172
i firmly believe that obama pelosi have zero desire to be civil it s a charade and a slogan but they want to destroy conservatism,0,0.182,0.127,Neutral,0.0003228187561035156
house correspondents dinner was last night whoopi barbara amp sherri went obama got a standing ovation,1,0.0,0.0,Positive,0.0002982616424560547
watchin espn jus seen this new nike commerical with a puppet lebron sh t was hilarious lmao,1,0.0,0.337,Neutral,0.0002853870391845703
dear nike stop with the flywire that shit is a waste of science and ugly love,0,0.43,0.245,Neutral,0.0002932548522949219
lebron best athlete of our generation if not all time basketball related i don t want to get into inter sport debates about __,1,0.0,0.216,Neutral,0.00031685829162597656
i was talking to this guy last night and he was telling me that he is a die hard spurs fan he also told me that he hates lebron james,0,0.238,0.067,Neutral,0.0003528594970703125
i love lebron,1,0.0,0.808,Neutral,0.00016880035400390625
lebron is a beast but i m still cheering the a til the end,0,0.0,0.331,Neutral,0.00023674964904785156
lebron is the boss,1,0.0,0.0,Positive,0.00016164779663085938
lebron is a hometown hero to me lol i love the lakers but let s go cavs lol,1,0.0,0.488,Neutral,0.0002880096435546875
lebron and zydrunas are such an awesome duo,1,0.0,0.369,Neutral,0.00022530555725097656
lebron is a beast nobody in the nba comes even close,1,0.0,0.0,Positive,0.0002193450927734375
